model,prompt,historical_direction_span,prompt_mean_rankic,direction_span_rankic,prompt_minus_span
RoBERTa,盈利,盈利,0.05790542722553644,0.054295158549887396,0.0036102686756490435
RoBERTa,收益,收益,0.06044035000015138,0.05393688979667312,0.006503460203478265
RoBERTa,超额收益,超额,0.05132250542601117,0.05643639817494894,-0.005113892748937775
RoBERTa,亏损,亏损,0.05957033637185202,0.05478688229555219,0.004783454076299834
BGE-M3,盈利,盈利,0.03391836622649699,0.038116842510222605,-0.004198476283725612
BGE-M3,收益,收益,0.03313319196100565,0.03556179117447754,-0.0024285992134718895
BGE-M3,超额收益,超额,0.033042370799105436,0.037203307793535055,-0.004160936994429619
BGE-M3,亏损,亏损,0.03241381649951454,0.03431151536116025,-0.0018976988616457094
