stock_id,stock_name,exchange,industry,ticker,active
002966,苏州银行,SZ,,SZ002966,1
002984,森麒麟,SZ,,SZ002984,1
003021,兆威机电,SZ,,SZ003021,1
003022,联泓新科,SZ,,SZ003022,1
003031,中瓷电子,SZ,,SZ003031,1
003035,南网能源,SZ,,SZ003035,1
300001,特锐德,SZ,,SZ300001,1
300002,神州泰岳,SZ,,SZ300002,1
300003,乐普医疗,SZ,,SZ300003,1
300012,华测检测,SZ,,SZ300012,1
300017,网宿科技,SZ,,SZ300017,1
300024,机器人,SZ,,SZ300024,1
300037,新宙邦,SZ,,SZ300037,1
300054,鼎龙股份,SZ,,SZ300054,1
300058,蓝色光标,SZ,,SZ300058,1
300073,当升科技,SZ,,SZ300073,1
300100,双林股份,SZ,,SZ300100,1
300115,长盈精密,SZ,,SZ300115,1
300136,信维通信,SZ,,SZ300136,1
300140,节能环境,SZ,,SZ300140,1
300142,沃森生物,SZ,,SZ300142,1
300144,宋城演艺,SZ,,SZ300144,1
300146,汤臣倍健,SZ,,SZ300146,1
300207,欣旺达,SZ,,SZ300207,1
300223,北京君正,SZ,,SZ300223,1
300285,国瓷材料,SZ,,SZ300285,1
300339,润和软件,SZ,,SZ300339,1
300346,南大光电,SZ,,SZ300346,1
300373,扬杰科技,SZ,,SZ300373,1
300383,光环新网,SZ,,SZ300383,1
300390,天华新能,SZ,,SZ300390,1
300395,菲利华,SZ,,SZ300395,1
300432,富临精工,SZ,,SZ300432,1
300454,深信服,SZ,,SZ300454,1
300458,全志科技,SZ,,SZ300458,1
300474,景嘉微,SZ,,SZ300474,1
300475,香农芯创,SZ,,SZ300475,1
300487,蓝晓科技,SZ,,SZ300487,1
300496,中科创达,SZ,,SZ300496,1
300548,长芯博创,SZ,,SZ300548,1
300558,贝达药业,SZ,,SZ300558,1
300567,精测电子,SZ,,SZ300567,1
300570,太辰光,SZ,,SZ300570,1
300604,长川科技,SZ,,SZ300604,1
300620,光库科技,SZ,,SZ300620,1
300623,捷捷微电,SZ,,SZ300623,1
300627,华测导航,SZ,,SZ300627,1
300666,江丰电子,SZ,,SZ300666,1
300676,华大基因,SZ,,SZ300676,1
300677,英科医疗,SZ,,SZ300677,1
300679,电连技术,SZ,,SZ300679,1
300699,光威复材,SZ,,SZ300699,1
300718,长盛轴承,SZ,,SZ300718,1
300724,捷佳伟创,SZ,,SZ300724,1
300735,光弘科技,SZ,,SZ300735,1
300748,金力永磁,SZ,,SZ300748,1
300751,迈为股份,SZ,,SZ300751,1
300757,罗博特科,SZ,,SZ300757,1
300759,康龙化成,SZ,,SZ300759,1
300763,锦浪科技,SZ,,SZ300763,1
300857,协创数据,SZ,,SZ300857,1
300888,稳健医疗,SZ,,SZ300888,1
300919,中伟新材,SZ,,SZ300919,1
300953,震裕科技,SZ,,SZ300953,1
300957,贝泰妮,SZ,,SZ300957,1
300972,万辰集团,SZ,,SZ300972,1
301200,大族数控,SZ,,SZ301200,1
301301,川宁生物,SZ,,SZ301301,1
301358,湖南裕能,SZ,,SZ301358,1
301377,鼎泰高科,SZ,,SZ301377,1
301498,乖宝宠物,SZ,,SZ301498,1
301526,国际复材,SZ,,SZ301526,1
301536,星宸科技,SZ,,SZ301536,1
301606,绿联科技,SZ,,SZ301606,1
