prompt,prompt_zh,model,variant,method,signal_days,average_holdings,gross_daily_bp,cost_daily_bp,net_daily_bp,positive_day_rate
profit,盈利,roberta,short,linear_ridge,1991,2.8046207935710696,21.42645359230405,14.475687218231542,6.950766374072504,0.4530386740331492
profit,盈利,roberta,short,hard_kmeans_ridge,1991,2.8046207935710696,23.03144982238848,14.481400610409022,8.55004921197946,0.45454545454545453
return,收益,roberta,short,linear_ridge,1991,2.8046207935710696,24.275442078447988,14.498784148953725,9.776657929494265,0.4580612757408338
return,收益,roberta,short,hard_kmeans_ridge,1991,2.8046207935710696,26.608888819199674,14.566489588956097,12.042399230243577,0.45605223505775994
excess_return,超额收益,roberta,short,linear_ridge,1991,2.8046207935710696,13.193995468098041,14.45873564067355,-1.2647401725755074,0.4485183324962331
excess_return,超额收益,roberta,short,hard_kmeans_ridge,1991,2.8046207935710696,13.286457066754922,14.5062209326233,-1.2197638658683778,0.45052737317930686
loss,亏损,roberta,short,linear_ridge,1991,2.8046207935710696,17.59859516105399,14.498421620072266,3.100173540981721,0.4419889502762431
loss,亏损,roberta,short,hard_kmeans_ridge,1991,2.8046207935710696,16.855202765763156,14.486893453176789,2.368309312586365,0.4480160723254646
profit,盈利,roberta,masked_short,linear_ridge,1991,2.8046207935710696,25.813217219006635,14.483365019180331,11.329852199826304,0.4490205926670015
profit,盈利,roberta,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,26.135198247626295,14.465115024194109,11.670083223432187,0.4490205926670015
return,收益,roberta,masked_short,linear_ridge,1991,2.8046207935710696,27.37030426276393,14.466491654503423,12.903812608260509,0.4485183324962331
return,收益,roberta,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,27.261956701310094,14.489301946641008,12.772654754669087,0.4490205926670015
excess_return,超额收益,roberta,masked_short,linear_ridge,1991,2.8046207935710696,9.864296022902401,14.51655280998677,-4.65225678708437,0.44701155198392767
excess_return,超额收益,roberta,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,9.633366424083112,14.480170673513443,-4.846804249430331,0.44249121044701156
loss,亏损,roberta,masked_short,linear_ridge,1991,2.8046207935710696,22.729577680559117,14.494735381832664,8.234842298726454,0.4625816172777499
loss,亏损,roberta,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,22.071364972022653,14.4983108360017,7.573054136020954,0.46157709693621296
profit,盈利,bge_m3,short,linear_ridge,1991,2.8046207935710696,15.165632936569754,14.404048482010731,0.7615844545590221,0.4480160723254646
profit,盈利,bge_m3,short,hard_kmeans_ridge,1991,2.8046207935710696,15.330130259443669,14.423180215104049,0.9069500443396188,0.4535409342039176
return,收益,bge_m3,short,linear_ridge,1991,2.8046207935710696,13.335391274992919,14.406794373434003,-1.0714030984410845,0.4439979909593169
return,收益,bge_m3,short,hard_kmeans_ridge,1991,2.8046207935710696,8.878731971620146,14.424582370417763,-5.545850398797619,0.44299347061778
excess_return,超额收益,bge_m3,short,linear_ridge,1991,2.8046207935710696,19.296488970425024,14.303229855882552,4.9932591145424725,0.4500251130085384
excess_return,超额收益,bge_m3,short,hard_kmeans_ridge,1991,2.8046207935710696,17.843349734953584,14.296108870366774,3.5472408645868114,0.4515318935208438
loss,亏损,bge_m3,short,linear_ridge,1991,2.8046207935710696,16.17892156532073,14.40118874222532,1.7777328230954117,0.4535409342039176
loss,亏损,bge_m3,short,hard_kmeans_ridge,1991,2.8046207935710696,15.429371130102199,14.376013812441117,1.0533573176610809,0.45705675539929685
profit,盈利,bge_m3,masked_short,linear_ridge,1991,2.8046207935710696,19.522141064801676,14.447710701706336,5.074430363095339,0.4515318935208438
profit,盈利,bge_m3,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,21.31615188338365,14.471346722183577,6.844805161200074,0.4515318935208438
return,收益,bge_m3,masked_short,linear_ridge,1991,2.8046207935710696,19.750114194025414,14.479640320169263,5.27047387385615,0.45554997488699145
return,收益,bge_m3,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,20.71375300499711,14.469425024494903,6.244327980502207,0.4535409342039176
excess_return,超额收益,bge_m3,masked_short,linear_ridge,1991,2.8046207935710696,22.852144147079297,14.412736812643976,8.439407334435318,0.4535409342039176
excess_return,超额收益,bge_m3,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,21.134888835574852,14.406081758300383,6.728807077274467,0.4525364138623807
loss,亏损,bge_m3,masked_short,linear_ridge,1991,2.8046207935710696,19.176918582274293,14.461228279239934,4.715690303034359,0.4590657960823707
loss,亏损,bge_m3,masked_short,hard_kmeans_ridge,1991,2.8046207935710696,14.179021721826341,14.436176059601166,-0.2571543377748247,0.45203415369161226
