year,method,valid_signal_days,average_long_holdings,long_daily_bp,short_bucket_daily_bp,long_short_daily_bp
2018,pca_ridge,160,3.69375,-12.545405208333332,-35.48364464285715,22.938239434523805
2018,umap_hdbscan_ridge,160,3.69375,-8.719785639880953,-42.69175200892857,33.97196636904762
2019,pca_ridge,236,4.529661016949152,10.671219128329296,2.338907267285444,8.332311861043854
2019,umap_hdbscan_ridge,236,4.529661016949152,18.438296727871943,5.090284335485603,13.348012392386337
2020,pca_ridge,169,3.964497041420118,18.94185252354483,1.0549082733505821,17.886944250194258
2020,umap_hdbscan_ridge,169,3.964497041420118,20.656401604805453,-3.149797860259401,23.806199465064847
2021,pca_ridge,105,3.619047619047619,-5.492416481137909,3.5058186799972493,-8.998235161135158
2021,umap_hdbscan_ridge,105,3.619047619047619,-3.7367769085411924,-1.708344441008726,-2.0284324675324696
2022,pca_ridge,115,3.3217391304347825,-10.257512422360247,-38.170318012422356,27.91280559006211
2022,umap_hdbscan_ridge,115,3.3217391304347825,-4.649524223602485,-53.792039958592134,49.142515734989644
2023,pca_ridge,78,3.128205128205128,-7.484737179487181,-11.339344017094016,3.854606837606834
2023,umap_hdbscan_ridge,78,3.128205128205128,22.744164529914535,3.361292735042737,19.382871794871786
2024,pca_ridge,98,3.6122448979591835,22.750534499514085,2.4926662742019903,20.2578682253121
2024,umap_hdbscan_ridge,98,3.6122448979591835,19.0986047226583,8.767788620393215,10.330816102265088
2025,pca_ridge,130,3.9,-7.3597342490842514,-30.82563342490842,23.465899175824177
2025,umap_hdbscan_ridge,130,3.9,0.858689560439564,-26.087858150183152,26.946547710622713
2026,pca_ridge,105,14.276190476190477,-8.05284987565033,-27.03582707699786,18.982977201347534
2026,umap_hdbscan_ridge,105,14.276190476190477,-18.11012822611898,-20.676606291068207,2.5664780649492323
